256x240 NTSC,4.905,256,264,287,312,240,241,244,262,0
320x240 NTSC,6.700,320,336,367,426,240,244,247,262,0
320x480i NTSC,6.700,320,336,367,426,480,488,493,525,1
640x480i NTSC,12.336,640,662,720,784,480,488,494,525,1
720x480i NTSC,13.846,720,744,809,880,480,488,494,525,1
256x240 PAL,5.320,256,269,294,341,240,270,273,312,0
320x240 PAL,6.660,320,336,367,426,240,270,273,312,0
320x480i PAL,6.660,320,336,367,426,480,540,545,625,1
640x480i PAL,13.320,640,672,734,852,480,540,545,625,1
720x576i PAL,13.875,720,741,806,888,576,581,586,625,1
